,review_comment
2838,"I would give American Airlines no stars if possible, our flight was delayed for a mechanical issue last minute (even though the plane was sitting outside the terminal for 3 hours before the flight). Our delay continued as the pilot informed us we could not leave until the log was signed, that took another 30 minutes. We expressed concern about making our connecting flight, they told us it would be fine. It was not fine, we missed the flight, we landed at 7:00 am in Dallas, the flight was scheduled for a 7:05am take off, they left early at 6:58am. We were sent to 3 different gates trying to get on flights, had to rush with our bags all over the airport and finally had to settle for flying into Reagan rather than BWI where our car was. We agreed to this because the 2 women working with us said the airline would reimburse us the $55 shuttle ride if we wrote to them,. We were not offered a voucher for food at the airport or for a shuttle like we saw other customers being offered. I was just informed by customer service that they will not reimburse as it is not their policy, but they did try to give us two $100 vouchers to use on a future flight. If I was going to fly anywhere within the 1 year they give us to use them, I would not be doing it with American Airlines and $100 will not get you far with their prices. Do yourself a favor and go with a different airline. On top of all this they will put you in the oldest plane they can find for a 7 plus hour trip to and from Hawaii, and no WiFi of course."
2839,"The American Airlines plane was old, dirty and horrid. Birmingham to JFK was a new flight started in May 2015 and they must have taken this plane from the scrap heap. They boarded us on time but sat us on the plane for 2 hours - nothing offered. Finally get going and actually make up a bit of time but then waited on tarmac at JFK for another 1.5hrs. Did we have to rush to get a connecting flight to Orlando. Security at JFK is a nightmare and we got on plane with minutes to spare. Closed the door, taxi out but then everything stopped and sat for another 1.5hrs. Got to Orlando, circle over Daytona for 1 hour land and then yet more time waiting to get to the terminal.  We left UK at 0600, and arrived Orlando at midnight. 18 hours on the plane - never again."
2840,"American Airlines from Miami to Milan. This is probably the worst travel experience I can state, to date. The aircraft was extremely old. I arrive to my business class seat with my daughter, it felt like we were on a flight in a third world country and instead of the screen being behind the seat, I was given an old, breaking tablet with some blue tape wrap around the charger (Photo), which cause the tablet to be almost dead throughout this flight. Next we have the bathroom, which I will say is the worst! It was so tight and dirty.  The food was disgusting and sloppy (Photo). The seat in front of me, the trim was lifting and not even attach to the seat(Photo).  Where I was seating exactly, the air vent was without the turning knob to adjust - just 2 holes! Everything was dirty and I wouldn't recommend American Airlines to anyone."
2841,"I am totally fed up with American Airlines. AA1021 departed Las Vegas without incident and on time. The flight to Dallas/Ft. Worth is only about 2 hours. The A320 can easily fly for over 4 hours. While over Wichita Falls, the pilot announces that he is low on fuel and has to divert to Wichita Falls. Later, the pilot comes over the intercom and tries to explain that it is because of weather around Dallas. Savvy passengers on the flight check this and find there are no current delays at DFW. Why does he not have enough reserve fuel? Maybe the FAA should look into this. Needless to say, we missed our connecting flight to Richmond from Dallas. American Airlines had only 2 customer service reps to process about 125 angry passengers. It was after midnight when we got our new airlines tickets for our continuing flight. Our flight was 9:30AM the next day. American Airlines offered us a hotel, but at our own expense. No food vouchers were ever offered. American Airlines left us stranded waiting for our next flight. This was not the passengers fault. Just saying sorry just doesn't hack it. So this is the new American Airlines? I'm not impressed."
2842,"Minneapolis to Chicago on American Airlines, in Economy class on a vintage MD80. Friendly check-in, where the agent worked with me to avoid the USD 100 surcharge because my hold luggage was initially 8 lbs over American Airlines 50 lbs. limit. This was appreciated. After that the experience became distinctly mediocre. Once boarding was completed the pilot announced that there will be delay due to a maintenance issue that they have not been aware of before. So a packed plane waited for the maintenance issue to be solved, which thankfully “only” lasted 40 minutes. Plane has obviously not been cleaned in MSP, as the seat pocket was full of stuff including used tissues and something sticky and disgusting.  Otherwise the flight was uneventful. Legroom was ok due to Economy ExtrAA seats, but service was very average. Flight attendants not exactly unpleasant, but not particularly friendly, either and not doing more than the absolute minimum. No snacks were served (also not expected as this being the US and the flight time was below 90 minutes). Drink service was limited to coffee, water and orange juice, which is pretty poor for a flight of this duration. Bags out fast in ORD with priority bags first. In general the flight as such was OK. Pretty much like taking a bus. However, due to the delay a lot of people were very anxious to reach their connection out of ORD. The only assistance from American Airlines staff seemed to be an announcement to “remain seated, if you do not have a transfer connection to catch”. Sorry state of affairs in the US skies, but American Airlines is still my default airline for domestic flights, as staff normally seem to be willing to assist, if help is needed."
2843,"This flight from New York JFK to Las Vegas was a reward flight using frequent flyer miles, so only cost $10 for me and my partner. However, we were very disappointed with American Airlines service. The flight was delayed from leaving the gate due to a paperwork issue, but the cabin attendants did not do anything to ease our discomfort (the plane was getting hot due to reduced air con while still at the gate). After we got airbourne (2 hours late) the trolley came around with refreshments, but most food items had sold out completely (only nuts or chips remained). We were seated mid aircraft so feel there was never anywhere near enough food in their stock for this 6 hour flight. Also, the trolley only came around once which is not enough on this length of flight in my opinion."
2844,"I ordered a round trip ticket from American Airlines. I revived no confirmation email from them so when it got closer to the flight I had to talk to the customer services. I had an emergency where I could not make the first leg of the flight and they were not cooperative with changing my ticket they suggested I had to pay at ""$200"" plus the fare difference which totaled $600 - so I booked an alternative airline. When I tried to use the return trip of the American Airlines flight they told me it had been canceled because I did not fly the first leg of the flight. My advice would be to pay careful attention to your ticket servicing."
2845,"In August we flew to Hawaii with American. We had first class tickets and we have to say that we are very disappointed with the experience. It is a 5.5 hour flight (like JFK - London) and the first class seats barely recline. Not even a footrest! Now many airlines even on the longer domestic flights have sleeper seats. We usually don't care about the food on the plane, we don't wait to fly to get a good meal, but on the flight from Kona to Lax when asked if ""pizza"" was ok, my husband asked what was the other choice and the answer was ""pizza only""!  At least don't call it First Class. We will never fly American again if we have other choices."
2846,"I was forced to fly from Orlando to Dallas/Fort Worth just get back to Pensacola. It doesn't make any sense to fly over my city just to get back to my city and add four hours. I accepted it and moved on. The reason why I am writing this review is because I arrived at Ft Worth about 15 minutes later than the flight expected. things happen, and I understand that. But when I arrived I almost immediately heard my name over the intercom for a final boarding call to Pensacola. I was told I had 10 minutes to reach the gate or I wouldn't make it. I made it to the gate I was instructed to reach in less than 3 mins. It was the wrong gate. They told me the incorrect gate both on the plane and over the intercom. SO when I finally found airport staff they told me the correct gate. Luckily it was just a few down. I got to it with more than five minutes to spare in my 10 minute time I was given. I walked up to three personnel from American Airlines and they didn't even want to break out of their personal conversation to help me. When I said ""I heard my name, I'm here to get on"" they told me they had just closed the gate and that I would need to be re-booked. The girl who locked me out of the flight didn't even want to help me get re-booked. She pawned it off to another employee as if it was a chore. He didn't even look me in the face the entire time and told me that I would need to fly at 8.30 that night if I wanted to fly today. I asked how to file a complaint. All he said was ""go online"". I will not be flying with American Airlines again."
2847,"Typically American Airlines is my preferred airline, but now that I have had to work with their customer service department I question whether I will ever fly with them again. I was issued a voucher a year ago and it says redeemable at the ticket counter or by calling. As the expiration date approached I contacted them a few days before it expired to inquire about extending it. They said no. This was fine. I located a flight and booked it and then called again (September 2nd) to ""purchase"" the flight. At this point I was informed that I needed to begin my travel on that day or else lose the voucher. This travel requirement had not been previously communicated. Also, I was told they needed 2 weeks processing time so the voucher was no longer any good since I was not able to travel immediately. Had I known I needed to travel by a specific date I would have. If I knew that I needed two weeks to allow them to process the voucher (via mail) I would have gone to the airport directly. The vouchers do not come with these instructions. So I have used their poor website tools to communicate. First, I ""emailed"" customer service with no reply. Second, inadvertently I ""emailed"" ""customer relations"" (who knew they were different?). This second communication got things moving. I was told we have no record of the first email. So I| sent them the tracking number, to which the replied basically, ""oh yea, it's expired. Nothing we can do. Sorry. Keep flying with us though"". I have since resubmitted an ""email"" to them via their website. This is a horrible practice and outright poor communication on behalf of American Airlines."
2848,"American Airlines has definitely upped their game. I was upgraded due to my EP status on AA. Out of all the US airlines only AA regularly upgrades me. I spend a lot of money with them in my business, not sure if that is connected though. This is their A320 shuttle between LAX-JFK, replacing larger Boeing 767, which I used to fly. It cannot be compared. Seats are great, comfortable. The only illogical thing is USB / Headphone plugs and cell phones which is behind your seat, to make space in front. But it is a little annoyance. Food is great, better than on international AA flights I take from LAX-LHR. They had great starters, good wines and fresher food options. AVOD great, good sized personal TV.  AA is going the right direction, I just hope they don't become complacent again. The competition is tough and I recently tried Mint by JetBlue, which I dare to say was even better."
2849,"I'm extremely disappointed with American Airlines on my flight from Denver to Chicago. It is the first time I have flown with American Airlines. The flight attendants and staff are great, but the promise of wifi (that I ended up paying for and it doesn't work) is very deceiving. One of the reasons I picked this airline is for the WiFi and it doesn't work. And they have already charged my account."
2850,"My American Airlines flight was rescheduled 1hr 20 mins earlier than when I booked it. American Airlines did not notify me, so I missed the flight on Labor Day weekend that really messed things up for me. I wrote to the airline about this, and they replied with an email telling me that it is their policy that customers should check with the airline 24 hours before the flight in case there has been any changes. Other airlines notify customers of changes. On top of that, the rep at the counter was extremely unhelpful and booked me on a flight that I told him wasn't going to work. I had to go to a second rep to get it fixed. I saw the exact same thing happen to another guy. He got out of line after missing the same flight and called the airline to undo what the rep at the counter did without his permission."
2851,"The aircraft was okay considering it was economy but they should definitely allow more leg room. As if that wasn't enough, I was squished by 2 people who were well-rounded. Their legs came about 3-4 inches to my side of the seats. It doesn't sound like much but I was in a very tight space. I can't believe I chose them for my round trip, too. Some staff were nice, but many were rude.  In fact, there was a front desk agent who was on his phone the whole time while I needed to get my flight changed.  Every time I asked a question, he would answer like he was offended and I'm known to be one of the most polite people out there. He has basically inspired me to write this review. The only reason why they're not a flat out 0/10 is because there was one woman who found my wallet, came back all the way just as I was about to board my flight. If it wasn't for her generosity, I don't know what I would do. But I can definitely say she can move to a better airline considering her qualifications and the level of service she offered."
2852,"American Airlines Dublin - JFK - LAX - Honolulu - LAX flights on time. Fantastic crews, some of them had definitely been around a while (and I saw more than one wearing a pair of crocs) but they seemed to be genuine and take pride in their jobs. Great catering,  Dublin - JFK I had the best steak on a plane. Generous meals were served on the long domestic legs. Crew offer drink top ups. The seats Dublin - JFK were old angled seats, fine for daytime flight but I wouldn't like to travel overnight with these. The full flat seats between JFK and LAX on the new A321 were superb. The old recliner seats LAX-HNL-LAX flights were nothing to write home about but a step up from shorter haul business class in Europe. only thing that could have improved for me would be handheld IFE units given out to customers in First Class on LAX-HNL legs. The flights are around 5.5-6hrs and this would have vastly enhanced the experience."
2853,"La Paz to London via Miami. The main reason for this review is that American Airlines now check your baggage through. After booking the flights, I had a warning from a friend that you not only had to go landside when transiting, but you had to collect your bags to check in again. I had minimal time in (Dallas on the way out) Miami and AA reservations confirmed that baggage could not be checked through. They now do so and I made the LHR flight with about 30 minutes to spare (unhelpful immigration staff). The flights were uneventful and unimpressive, but cheap and got there in reasonable time. The only real gripe is the entertainment system. The Boeing 777 flights provide a woefully short number of films, documentaries, comedies, dramas and any choice would get a 'you want to watch it from 20 minutes in or wait for the next one in 10 minutes?' Sound and picture quality are very poor. The Boeing 757 flight from La Paz was a throwback to the 80's - fold down screens in the aisle, where you will watch the only showing, unless you're sitting in a window seat and you can't see the screen anyway. Point I did like was that, for a cheap cost, you can buy a better seat well in advance. As said, my flights to Peru and back from Bolivia were a lot cheaper than alternatives so if that means the TV options are rubbish, so be it."
2854,"Flew Dallas Fort Worth to Washington with American Airlines on an MD-80 with a new and modern interior. First Class seat seemed to be smaller than the old seats, a little tight in the rear. Flight departed and arrived on time. Cabin crew was super, after take off we were served a nice lunch, surprisingly the food was pretty good. Wi-Fi was available but I didn't make use of the service. Crew was funny, professional and extremely attentive, great service. American seems to be trying harder, great improvement."
2855,"A great American Airlines service. Flagship lounge very nice at JFK. Boarding on time, nice FA, new aircraft, very comfortable seating. Only thing, do not sit in the front row for business, it is very noisy and crew are close. Choose row 7 or 8. Nice food service, and snacks. "
2856,"American Airlines flight from Frankfurt to Miami on American Airlines. This flight is over 10 hours, and American Airlines thought it would suffice for such an expensive flight to have a plane with about 10 overhead cabin TVs (TVs that are obsolete and not made anymore), No personal TVs on each seat. No plug or usb for charging or wifi - so we can't even use our own personal device to watch or do something else besides watching the 1movie on the overheard TV screens on the plane because we can't charge our devices and will be dead in an hour on a 10 hour flight! I emailed American and they basically told me it was not ""profitable"" enough to have up to date planes for this flight - although it was pretty much sold out! Never again!"
2857,"We flew American Airlines from Los Angeles to Santo Domingo with a connection flight in Miami. All flights were delayed, on of them for fuel while all passengers were already on board. On the flight from Los Angeles to Miami we were on the plane after landing for 55 minutes - supposedly waiting for a gate, and almost missed the connecting flight."
2858,"Sao Paulo to New York JFK. American Airlines newer Boeing 777-300 have started looking tired and a bit dirty, like the old 777s and 767s. The service was very good and friendly. Both seat and entertainment worked well (same poor TV programming) and in spite of the fact that we had a pair of spoiled loud children on Business Class, the ride was smooth and comfortable. The food was quite average, but a very decent selection of wines. I a very pleased to see that decent service, at least in the premium cabin, is becoming more common. Not all flights for sure, but enough for frequent flyers to notice."
2859,"The 2nd leg of 2 to Las Vegas with American Airlines. After travelling from Manchester and now feeling rather tired and weary, we couldn't wait just to get on the plane and get away. When we seen the plane at the gate it was a lot smaller than our first flight so we expected to be squashed up like sardines for 6hrs as the flight was fully booked. Again the flight boarded on time and we were greeted  by the cabin crew, found our seats and to our surprise there was even more leg room than the first flight. The cabin was also fresh, clean and bright. Departure was delayed by an hour due to a technical fault with something to do with the fuel. Once up and away the inflight service commenced and free drinks were served which I wasn't expecting for an internal flight. The entertainment was in overhead TV's but I didn't expect seat back entertainment on a smaller plane. I didn't even expect TV's on the plane. We arrived in Vegas only 30 minutes late so that wasn't too bad after our 1 hour delay. No problems at all with this flight (apart from delay, but safety is paramount)."
2860,"Manchester to New York JFK with American Airlines, being the first leg of 2 travelling to Las Vegas with my wife and son. After reading some of the horror stories previously I wasn't looking forward to the flights. The day got off to a bad start with a 2hr queue for checking in at Manchester airport, and then to find out that the seats that my wife had booked online (window seats) were then not available to us and we were put in the centre section - although one of us would be sitting by ourselves, this was rectified on board with another passenger who kindly swapped. The flight was on time and we made it with 20 minutes to spare thanks to the mass chaos at check in, the plane looked new and clean from the outside, but once inside the aircraft all that changed, and you stepped back in time to the 1990's. The cabin was dreary and their was also a stale smell in the air (like a pub carpet), and also the entertainment system may have well been non existent with the overhead TV's (no seatback entertainment here). The flight was good, the cabin crew were good - friendly and no attitude, the food was good, and also the refreshment service was no problem (free drinks). The seats may have been old, but they were spacious and plenty of legroom in front. Would I fly with AA again - if I got the same level of service then yes, if it was a dirty aircraft that desperately needs dragging into the modern age for a long haul flight then no. American Airlines need to up their game in certain departments and make sure it happens across the board so everybody has the same level of service whether it be long or short haul."
2861,"I fly American many times throughout the year from DFW to US and international countries. The most annoying thing is when traveling via Miami, American loves to fill the aircraft with a ton of cargo so much so that flight will often be delayed departing, meaning a missed connection in Miami. Seems American loves to put people in Hotels in Miami from delayed flights. My recent flight from DFW via Miami catching American Eagle to GNV, I nearly missed with the connection because American in DFW decided to load a ton of cargo onto the Boeing 777-300ER. Granted the plane was flying onwards from Miami to RIO, but most of the passengers were making connections in Miami to other US cities via American Eagle. As the flight was delayed 1hr in DFW while a full plane sat on the ground, by the time the food for purchase came around the food had run out. So much so that the cabin crew started giving out free snack items. As to the delay from DFW, American was nice to give each person the full can of soda or Juice, and the pilots took us over the gulf to so we could reach Miami quicker.  Once landed in Miami everyone ran to D60 where all the American Eagle flights depart with a mad rush for the sky train to make the connections. "
2862,"Chicago to Minneapolis in American Airlines First class (due to upgrade) on an MD80 (an old plane, but seemed well maintained and comfortable for this short flight, with standard First class seats).  Flight on time and no drama. Cabin staff in First Class was attentive and trying to give a good experience. Coffee/Drinks and some pre-packaged cookies were distributed for breakfast. Check-in in ORD was slightly weird. I was using economy check-in kiosks, as they were closest to the door where I entered the airport and had no lines. The first two machines did not work and froze immediately. Going to the next machine I was approached by an American Airlines employee and asked if I needed help. “Probably not, if this machine works”. The third machine finally did work. However, I got a lecture by this officious person that American Airlines requires to be at the airport at least two hours before the flight and actually three hours is needed to make the flight. Aside from the fact that he did not know or ask my departure time or flight number or anything else before lecturing me and the whole area was not busy at all, he was just delaying me while doing the check-in. All officious, surly and completely unwarranted. I finished check-in, went through TSA within 15 minutes and still had more than one hour left to wait at the gate before boarding started. Priority bags out first in MSP. Except for this weird encounter during check-in, the flight was ok, but of course no way near a First Class experience. Also, of course good value due to the upgrade."
2863,"I was flying out of Maui and it took several American Airlines agents to figure out how to issue the boarding passes for my family and check our luggage from Maui to Ottawa. We waited from 7.15pm until 8.50pm for them. We were originally scheduled to fly with United as part of a code share with Air Canada. At the airport, when we checked in with UA, they informed us of the changes and sent us to AA counter as our trip from Maui to Los Angeles was now with American Airlines. The agents sent us back to UA. The agent at UA was very helpful, printed the itinerary for us and told us that all the information was in order. In the end, the AA manager made some phone call to figure out how to issue our boarding pass and check in our luggage. They could have done that within the first 20 minutes instead of wasting our 1.5 hours in that hot airport. We did not receive any apology. When they issued our boarding passes, our family of four were split into 3 groups, when there were 3 empty rows (9 seats) at the back of the plane. When I walked to the back of the plane and asked the stewardess about putting me and my husband back there, they said no. My guess was those seats were kept for them to sleep/use for storage during the flight. Crew service was average. It was a red eye flight so there was little service required. The crew did not greet the customers on arrival and departure. I will avoid AA in the future."
2864,American Airlines is not the airline it used to be and has gone downhill since the merger with US Airways. My wife and I were recently on a smaller plane from Hartford to National and my wife could not make the flight. When I called to see if they would change the flight for her I was told it would cost an additional $200 plus the difference in the cost of the ticket. I expected this and had a fall back of a $60 fare with another airline. Told myself I would enjoy the extra room on the cramped seats with the seat next to me being empty. American Airlines decided to put someone in the seat and after I told them I had paid for it and wanted to use it was told too bad they could take it. So this seat was paid for twice. Once by me and again by another passenger.
2865,"Guadalajara to Chicago via Dallas/Ft Worth with American Airlines, and no problems. Flight to Guadalajara and back were good. Seat was not comfortable on the older MD80, but well managed and very clean. The A320 has inflight entertainment, however it stopped working about 30 minutes before landing. Flight attendants were kind and attentive, and the snack pack is actually a good buy on economy. Overall, very enjoyable experience."
2866,"American airlines has gone downhill since the merger, the personnel are rude and unhelpful especially in Phoenix. My most current flight was so cramped. They cut corners and up prices. This flight over the Pacific felt like I was on a flight from the early 90s it was so behind the times in the cabin."
2867,"I am so disappointed in American Airlines and their customer service. On August 26th I left from Vancouver to head to LAX. I was supposed to have a 51 minute layover before I jumped on my next flight to Denver. This was not going to be a problem, I was assured by many staff members that our arrival gate was right next to my departure gate, I did not have any luggage only a carry on, and did not need to go through security, just simply get on the flight. As I boarded my plane, we were told that we would have to sit there for another 45 minutes because LAX was under construction and was not ready for us to arrive at our estimated time. This made my connection now only 25 minutes before departure of my Denver flight, but again I was reassured by staff that this would not be an issue. Upon arrival at 9pm (25 minutes before departure of next flight) the pilot informed us that even though they were aware there were many who needed to run to their connecting flight, we were unable to get off. By the time we got off the plane and ran next door to our gate, American Airlines flight to Denver had already closed the door. I ran to the staff member right away as I was only a minute or two behind the designated ""door closing"" time and was rudely dismissed and told there was nothing that could be done. After waiting 20 minutes, a member came and helped me reschedule my flight for the next morning at 6.30am. Seeing as it was 9.30 pm, I would need accommodation for the night. American Airlines offered zero help with accommodation. In result, seeing as my flight was very early in the morning and I needed to be there the night before, I had to stay at a hotel close by. I contacted AA about this issue, but my complaint and request for reimbursement was dismissed. I will never fly AA again."
2868,"After boarding the American Airlines flight, we were kept on the plane, sitting on the tarmac for 2 hours. There were vague updates every 45 minutes and the flight attendants knew nothing about what the hold-up was. We were told that something minor had to be fixed and then were told that paperwork was being wrapped up but we had to wait another 45-60 minutes for this. Whenever the flight crew made an announcement, it didn't sound like they really knew what was going on. To top off the fact that they kept us trapped on the plane for that long, the flight attendant only came around one time to give us one small glass of water. Then 1.5 hrs after we took off, they offered us another glass of a complimentary beverage (after we took off the plane felt very stable in the air but apparently the pilot ordered that beverage service not start for a long period of time - no reason was provided). Overall, the way American Airlines crew handled this situation was very disappointing. They came off as incompetent. That entire experience was awful."
2869,"I'm one of the passengers of AAL 95 flight that had to leave today August 29th at 10:55 AM heading from Madrid to New York. We had a technical problem half an hour after starting the journey and we have been informed that we returned to Barajas airport to repair it. Once there, just over half an hour later they informed us that the problem was solved but they had to consult with Dallas if the flight crew could conduct in question or not. Minutes later, they told us that regrettably could not make the trip and moved all the passengers to a hotel with expenses paid. Moreover, we confirmed that the flight would leave the next day at 9:00 AM and we had to be at the airport at 6:00 am in order to embark. What is our surprise now, in the hotel where we are staying, they have been placed for a notice explaining that the flight will start tomorrow at 9:00 PM by decision of the pilot. After calling the airline does not give us any reason to delay the flight 12 hours. We have wasted two whole days."
2870,"London to New York with American Airlines. The cabin crew were friendly, food was tasty, and the trip was comfortable. For a relatively long flight, it was pleasant, and more comfortable than many flights I've been on."
2871,"Paris CDG to New York JFK I only flew American Airlines because all of the one-stop flights from Cairo to New York via Qatar Airways were full, and I figured that one transatlantic flight on American Airlines was worth it to experience Qatar Airways business class between Doha and CDG. Boarding was slightly problematic. They announced business class boarding, and when I walked up to go through, I was rudely told that only business class passengers were boarding. It was assumed that due to my appearance that I couldn't possibly be a business class passenger, but once they realized the mistake, no apology was forthcoming. The plane was obviously old and the IFE personal entertainment screen was small, with a very limited selection of movies and television shows. When ""The Good Wife"" is the most interesting series available, there's a problem. However, the seat worked, and the flight attendants were nice, even though they didn't go the extra mile- everyone had to take care of their own carry-on and put it in the overhead bin. My special Halal meal was great, for both the main course and snack selectio"". My main course was similar to everyone else's in terms of presentation, but my snack was even better - instead of the Croque Monsieur Sandwich or Thai sandwich that the other passengers got, I got an awesome shrimp dish. The flight wasn't bad, per se, but if you're going to fly business class, there are many better airlines out there."
2872,"London Heathrow to New Orleans via JFK, LGA, CLT, DFW, on Boeing 777-300ER, A321/319 and Canadair RJ900. I had a code share flight from Geneva with British Airways but I had to change terminal which meant clearing security again - American Airlines has very few European connections at Heathrow so I'd rather transit elsewhere, given the choice. While free wine and beer is a welcome addition in economy class, the food is still lacking in quality and served in little black boxes that give an industrial feel. Integration with US Airways is incomplete; I had a domestic flight segment operated with a US Airways flight number but an aircraft with American Airlines livery on the outside (and US Airways inside) and there was no way to know whether I'd have to pay for my luggage. It ended up costing me $25 from LGA to MSY - no prior warning (and another website that declared the charge would have been cheaper overall). Change of airport required for a connection in New York so I spent a few days there. Generally the cabin crew were pretty friendly and I appreciated the interiors in the new Boeing 777-300ER with individual IFE. On the way home, they would have wanted me to pay $25 to choose any other seat on my flight from MSY to DFW but the back row; $75 to choose anything but a middle seat between DFW and LHR. I thought this was stingy, especially since I checked in early. Also, when I tried to check in online, the AA website sent me to US Airways and then US Airways sent me back to AA. With my BA legs I had 3 different booking codes (I had to find the US Airways one from Check My Trip). Flight out of LGA was late - the captain never came on to explain why it took so long to taxi to the runway - but the crew were great, eg. making people change seats just before landing so that anyone with a tight connection got an aisle seat. Overall I felt that this experience was not bad; better than United but I would always choose a European Airline over American Airlines if I could. A lot of disabled people were helped by the ground crew which was good. While the apps were pretty bad in the sense that check in was hard and so was getting my own boarding pass - it's not possible to download it to the app. I did. however, appreciate the Wifi luggage checking facility - you can scan your baggage tag and see if your bags made it to the plane through the onboard wifi."
2873,"Customer service non-existent. D and E gates at Charlotte Douglas Airport are a zoo. Planes are old and interiors dirty and in some cases broken seats or tears in the storage pockets - they look tattered and beat. With some exception the flight attendants act like they are doing you a favor with a surly attitude. I will give them the rest of the year to show some improvement and if no, I will switch to one of their competitors."
2874,"I recently flew with my husband and 10 year old daughter and was absolutely appalled with every part of American Airlines, from the staff to the aircraft itself. The customer service was just non existent, the staff were rude and abrupt. The cabin crew were scruffy and had appalling manners. As for the plane itself well where do I start, a 7 hour flight to New York, no TVs , no radio, no inflight entertainment whatsoever. We were given an extremely thin blanket a pillow so small a 2 year old would have struggled to use it. The food was horrendous. When I complained I was told I should have brought my own if I didn't like it. We were offered 2 drinks throughout the whole flight. "
2875,"My experience travelling from Quito in Ecuador (UIO) to EWR via MIA with American was truly a very poor experience. Firstly I had a problem with my initial flight to UIO on a different airline but same alliance (One World) on an unlinked itinerary - zero assistance from American - I would be still be in Ecuador only for the help from LAN Ecuador. Rude, unhelpful and petty rule driven check in employees at AA in Quito Airport causing long lines at check in. Old B767 - my standard overhead carry on bag would not fit in the bins. In Flight Entertainment was limited to an old overhead screen about 20"" Poor food offering - meal service took over an hour to be cleared and there was no further beverage service through the flight. Had to ask for Blanket and Pillow. Cabin Crew who went through the motions but were not engaged with passengers. Glad to get off the AA plane and hope that I never have to fly American Airlines again."
2876,"I really enjoyed this airline. It was I'd say the cabin crew was 95.9% polite and I enjoyed the food. Since I was in economy, you'd normally think the legroom would have no leg-room. I thought there was plenty of space since I am of an average height. The toilets were great and the 9 hour flight was worth it. I would say they could've come round a bit more often, but other than that everything was great. I will be definitely taking this airline again."
2877,"Scheduled flight to leave on Sunday August 16, 2015 from Sea/Tac at 1:31pm. The plane that we were going to use pulled up to pick us up.  Then some ""newly hired flight attendant"" activates the slide - see the photo. Evidently once the slide has been deployed out the side of the plane, you can't just poke it back in and fly away. Also, who would have guessed that there isn't a backup plane available. So now we have to wait until 8pm for another plane to fly from Dallas to pick us up. Does it take 6 hours to fly from Dallas to Seattle? I think not. We are notified that we will miss all our connecting flights. The next seats available to Des Moines aren't until Tuesday or Wednesday. Well that isn't going too well with our employers, so we negotiate through a supervisor with ""finance"" to get reimbursement should we fly to another city and take ground transport home. BTW, we were offered snacks for sale and a movie headphone for sale while we were on our flight with 200 passengers that also sat at the airport all day waiting for this flight. Absolutely rude. Okay so we were up all night flying and arrived in nearby city at 9:30am on Monday so we could drive home 2 more hours. We were sleep deprived but finally home around noon on Monday. Sent email asking for refund for airline tickets and ground transport. We are being offered a voucher for airline tickets with American and nothing for ground transport. They say because we took a flight to another destination that they don't pay for ground transport. "
2878,"The new American Airlines business class on the Boeing 777 is very good with two exceptions. First, catering needs a serious upgrade. The food was barely edible, and I must admit although I like ice cream for dessert, my expectations are a bit higher when travelling business class on a long-haul flight. The so called ""Champagne"" is Prosecco, which is a fine Italian product, but not Champagne by a long shot. I would suggest that American Airlines should either offer the real thing, or call it Prosecco. My second exception has to do with the comfort of the seat. It is great for sleeping, but for day-time travel it is not very comfortable. "
2879,"This is an impressive and smooth aircraft and I had waited months to my first AA787 experience. For that reason I flew from NY to Buenos Aires via DFW. I've flown other 787s and this aircraft's first impression is created by the incredible effect of its smart lighting and design. Boarding AA's 787 from DFW to EZE was nothing like it. The cabin was quite dark and it felt very cold and claustrophobic. Overall the crew showed a lack of knowledge of the product and did not know how to help passengers enjoy the excellent experience flying a 787 is in itself. AA's 787 has, in my opinion, very decent and comfortable seats (I slept over 7 hours) and great personal space. But entertainment did not work for a portion of the flight and crew members did not seem to know how to fix it. Service was very slow and very impersonal and it seemed as if it was short of 1 or even 2 crew members. There was nothing memorable about the food, but who flies AA for its culinary virtues? So it was ok. Although I did not pre-order my breakfast before falling sleep, I was fully awake when that service started, yet they skipped me, and I was informed that because I did not tell them a few hours prior that I wanted to eat in the morning, they might not have much left for me (at the end I was served the full meal). I loved being on this aircraft and will look forward to my next flight in it. Too bad AA is missing the opportunity of incorporating decent service to an amazing aircraft in order to deliver the wow factor of other carriers' 787 operation. Beautiful brand new plane and very smooth ride with the poor service of and old 767-200."
2880,"This summer my family and I took a vacation to see Europe. We chose an overnight flight so that our children could sleep and the first row so that we could have more room and be comfortable. Needless to say my girls fell asleep and my two year old laid down under our feet on the floor and fell asleep. The seat belt sign was on pretty much the whole flight with no turbulence. My two year old, as mentioned before, was completely out of the way so passing people and airline staff had a clear path way but I was continually harassed instead of helped by staff telling me that policy states she can not be on the floor with the seat belt sign on. Thus, I had to wake up a peacefully sleeping child who then cried and disturbed others. If I could have come up with a better solution I would have but the hand rests on these new planes do not move up in the front row due to there being TV's in them and the seats only go back so far. On the flight back the movie was acting up and instead of going to check to see if it could be fixed they just said that nothing could be done about the bad quality of the movie. This is not the first time I have had such an experience with American Airlines. Their customer service is terrible and they should be ashamed of treating customers that way and have a little more compassion for traveling parents with children."
2881,This knocks spots off British Airways (same alliance). The business suites are much more private than Club World. The crew were friendly and the cabin was the right temperature. I was very impressed. There was virtually nothing I disliked about this flight and I will fly with them again.
